id,faithfulness,answer_relevancy,context_precision,context_recall
P01,0.6863987445831299,0.5591000914573669,0.5575234293937683,0.6817137002944946
P02,0.44707611203193665,0.4965488016605377,0.605181872844696,0.4197186827659607
P03,0.6029905676841736,0.6855859756469727,0.5649787783622742,0.5805729031562805
P04,0.4638109505176544,0.7408954501152039,0.571890652179718,0.4057440161705017
P05,0.4461568295955658,0.6211080551147461,0.5587934255599976,0.5401378870010376
P06,0.6154158115386963,0.6614463329315186,0.6161147952079773,0.7202157378196716
P07,0.5941973924636841,0.626446008682251,0.5716336369514465,0.6374507546424866
P08,0.6061903238296509,0.8378764986991882,0.6594066619873047,0.5662730932235718
P09,0.70233154296875,0.8190401792526245,0.6343065500259399,0.7053590416908264
P10,0.4824122488498688,0.6202361583709717,0.6539045572280884,0.5870994329452515
P11,0.4732876420021057,0.7298504114151001,0.47222861647605896,0.4704166650772095
P12,0.3989673852920532,0.6307204365730286,0.5508239269256592,0.449014812707901
P13,0.6444495916366577,0.6683897972106934,0.605126678943634,0.7739206552505493
P14,0.6836978793144226,0.7486407160758972,0.6121660470962524,0.7247973680496216
P15,0.6868782043457031,0.7511194348335266,0.6682344675064087,0.5731565952301025
